Input,Material,Colour,Weight,Volume
"Russell Hobbs 26080 Kettle, 3000 W, 1.7 liters, Glass
Glass kettle with black plastic and stainless steel accents
Artisan inspired design
Asymmetric top cut with glass spout
1.7l capacity
2 Year Manufacturers Guarantee - Plus 1 extra year when you register the product online.
Brand Russell Hobbs
Colour Glass
Product Dimensions 20.3 x 16.6 x 26.4 cm; 1.13 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 KW
Voltage 240
Special Features Pull off lid, Glass kettle with Stainless Steel accents​, Appealing hourglass shape – carafe styling​, Unique glass spout, Blue internal illumination
Item Weight 1.13 kg
",metal,black,1.13kg,1.7L
"Travel Kettle, 500ML Electric Car Kettle Stainless Steel Coffee Mug Vacuum Flask Thermal Heated Travel Cigarette Lighter Kettle for Tea, Coffee, 12V
Brand Yosoo Health Gear
Colour Silver
Capacity 500 Millilitres
[Travel Heating Water Kettle]: Ideal for quickly heats water, coffee, tea, beverage; 500ml capacity cigarette lighter heating kettle fits most car cup holders, great for travel use
[Cigarette Lighter Plug]: Powered by DC 12V cigarette lighter plug power source, the travel kettle enables to drink hot water on road
[Premium Material]: The car electric kettle is made of 304 stainless steel and food grade PP material, which is anti-rust, corrosion-resistant, safe to drink the boiled water
[Perfect Heating Technology]: Using the latest electromagnetic heating technology, it heat up your water to the boiling point (100°C)
[Double Layer]: 350ML+150ML capacity, You are able to place tea or coffee in the lower section for convenient drinking, friendly design to better meet the needs of your journey
Brand Yosoo Health Gear
Model Number Yosoo Health Gearft3a41hg8w
Colour Silver
Capacity 500 Millilitres
Item Weight 360 g
",metal,silver,360g,500ml
"SANON 24V Travel Car Truck Kettle Water Heater Bottle for Tea Coffee Drinking 750ml
Brand SANON
Colour É“+é»‘
Material Plastic
Item Dimensions  L x W x H 8.5 x 8.5 x 22 centimetres
Auto cut off power when water is boiling and the green indicator lights on.
24V power supply, plug into the cigarette lighter socket, suitable for self-driving tour.
Premium plastic handle is comfortable to grip, stable and heat insulation.
Inner stainless steel heating tube design, quick to heat.The kettle body adopts 304 stainless steel ensuring safe and clean of water.
We provide lifetime service for SANON products. If you have any questions, please feel free to contact us.
Manufacturer SANON
Brand SANON
Product Dimensions 8.5 x 8.5 x 22 cm; 600 Grams
Item model number 1381222/120878AM52US11
Manufacturer Part Number 1381222/120878AM52US11
Special Features Boil Dry Protection
Item Weight 600 g
",metal,other,600g,750ml
"AmazonBasics Double-Walled Stainless Steel Kettle - 1.7 Liter
Brand AmazonBasics
Material 18/8 Stainless Steel, Plastic
Item Dimensions  L x W x H 26.6 x 22.3 x 16.2 centimetres
Electric tea kettle boils up to 1.7 liters (1.8 quarts) of water in minutes
Double-wall stainless-steel construction ensures outside of kettle remains safe to the touch
Stainless-steel interior (no plastic in contact with water); pop-up lid and large opening for easy filling; drip-free pouring spout
Strix controls and 1500 watts of power; neon power indicator; automatic shut-off for safety and convenience
Removable power base with cord storage; 76 cm power cord
Brand AmazonBasics
Model Number MK-17H05E2-UK
Product Dimensions 26.59 x 22.3 x 16.21 cm; 1.19 Kilograms
Volume Capacity 1.7 litres
Material 18/8 Stainless Steel, Plastic
Item Weight 1.19 kg
",metal,other,1.19kg,1.7L
"Salter EK3670 Illuminating Glass Kettle with Boil-Dry Sensor and Auto Shut-Off, 1.7 Litre, 2200 W, Clear
Brand Salter
Colour Clear
Material Stainless Steel
Item Dimensions  L x W x H 23 x 16 x 23.5 centimetres
The Salter 2200 W iridescent glass kettle is fitted with a vibrant LED light that illuminates to a striking blue-colour whilst boiling.
Supplied with a 3-year guarantee, the 1.7 L-capacity kettle features a 360° swivel base and flip-open lid for hassle-free operation.
The Strix-controlled unit is equipped with an anti-limescale filter, auto-shutoff system and boil dry protection for maximum safety.
The appliance has modern stainless steel accents and a concealed heating element, which contribute to a stylish, minimalistic finish.
With over 250 years of British design and innovation, Salter continue to make great products to enhance your everyday lifestyle.
Brand Salter
Model Number EK3670
Colour Clear
Product Dimensions 23 x 16 x 23.5 cm; 1.34 Kilograms
Volume Capacity 1.7 litres
Material Stainless Steel
Special Features Boil_Dry_Protection, Concealed_Heating
Item Weight 1.34 kg
",metal,other,1.34kg,1.7L
"Prestige Enamel 1.4 Litre Retro Stove Top Kettle - Almond
Brand Prestige
Colour Almond
Capacity 1.4 litres
Material Steel
Item Dimensions  L x W x H 35 x 30 x 10 centimetres

Retro enamel finish
Durable stain resistance porcelain enamel exterior
Easy squeeze and pour spout

Brand Prestige
Model Number PRE-46246
Colour Almond
Product Dimensions 35 x 30 x 10 cm; 1.1 Kilograms
Capacity 1.4 litres
Volume Capacity 1.4 litres
Material Steel
Item Weight 1.1 kg
",metal,other,1.1kg,1.4L
"Geepas 1800W 1.8L Electric Kettle - Stainless Steel Cordless Kettle - Auto Shut-Off & Boil-Dry Protection - Heats up Quickly & Easily - Boiler for Hot Water, Tea & Coffee Maker - 2 Year Warranty
Brand Geepas
Capacity 1.8 litres
Material Stainless Steel
Power / Wattage 1500 watts
Item Dimensions  L x W x H 23 x 19 x 17 centimetres
✅ AUTO SHUT-OFF & BOIL-DRY PROTECTION - Automatic shut off function upon boiling and the boil-dry protection prevents it boiling if there is insufficient water present.
✅ CAPACITY 1.8L - The capacity is 1.8L so will be good size for the family. Large size for making multiple cups of tea or coffee. To make pouring comfortable and easy the kettle features an ergonomic handle.
✅ SAFETY LOCK LID, 360° ROTATIONAL BASE - The lid fixes nicely into place and is locked by a safety lock. To keep the kitchen tidy, the base has integrated cord storage so it can be tidied away at your convenience & the handy 360° base means it can be comfortably used by right & left-handed people.
✅ STAINLESS STEEL - This electric kettle is made of stainless steel and is distinguished by their durability and makes a healthy kitchen appliance to heat up water, and it is also very easy to clean.
✅ 2 YEARS MANUFACTURER WARRANTY INCLUDED
Brand Geepas
Model Number GK5466
Product Dimensions 23 x 19 x 17 cm; 920 Grams
Capacity 1.8 litres
Volume Capacity 1.8 litres
Power / Wattage 1500 watts
Material Stainless Steel
Special Features Boil_Dry_Protection, Boil-Dry Protection, Automatic Shut-Off After Boiling, Capacity 1.8L, Stainless Steel, Concealed_Heating, Compact, Safety Lock Lid & 360° Rotational Base
Item Weight 920 g
",metal,other,920g,1.8L
"YZY™ SH3002 Home Kitchen Electric Kettle, 1500W, 2 litres Yellow Kettle Electric
Brand YZYTM
Colour Yellow
Item Dimensions  L x W x H 20.8 x 20.8 x 16 centimetres
Cordless
Boils water quickly and safely with 1500W heating element
A fully detachable base
Easy cleanup
Built-in insurance tubes for safe use
360° degree rotational base
High quality commercial grade 304 stainless steel with eco-friendly PP materials are used for this classical kettle
Brand YZYTM
Colour Yellow
Product Dimensions 20.83 x 20.83 x 16 cm; 1.54 Kilograms
Volume Capacity 2 litres
Special Features Boils water quickly and safely with 1500W heating element, Easy cleanup, Built-in insurance tubes for safe use, 360° degree rotational base, Cordless, High quality commercial grade 304 stainless steel with eco-friendly PP materials are used for this classical kettle, Kettles feature a stay-cool handle and drip-free spout that makes pouring easy., A fully detachable base, Boil Dry Protection, Concealed Heating, Cordless
Item Weight 1.54 kg
",metal,yellow,1.54kg,2L
"De'Longhi Argento Flora KBX3016.AZ Kettle, 360 Swivel base & cord storage, Blue
Exclusive agave blue paint finish – will not show finger prints
Boil dry protection - automatically switches off when the kettle is empty
Removable and washable limescale filter
360 degree base
1.7 litre capacity
Brand De'Longhi
Model Number KBX3016.AZ
Colour Blue
Package Dimensions 27.8 x 23.6 x 21.6 cm; 1.68 Kilograms
Volume Capacity 1.7 litres
Item Weight 1.68 kg
",other,blue,1.68kg,1.7L
"Foldable Electric Travel Kettle,0.6 Litre Squash Collapsible Electric Kettle Small Collapsible Dual Voltage Water Kettle - Portable Low Folding Kettle for Travel/Picnic/Work/Party(White)
【High Quality】-The flexible folding silicone container made of BPA-free and food-safe and 304 stainless steel,to provide safely resists high temperatures (From -40 degree to 230 degree) and maintains structure stability with hot water.
【Foldable Electric Travel Kettle】- The 600 ml kettle measures 14 x 16 cm when unfolded and squashes down to just 14 x 9 cm. The cable with plug is detachable, and a carry bag is included for easy, space-saving transport.
【Portable Kettles】- With a clever folding design that lets you take it anywhere, you're always equipped to make a proper cup of tea or coffee on the go with the collapsible travel kettle, whether camping, glamping or on a camper van road trip.
【Dual Voltage and Heat Preservation Function】-110V/220V dual voltage optional, Take along for readily accessible hot water on any continent!
【Electric Kettle Cordless】- Our kettles comes without cord . A handy touch-handle will not heat up whilst boiling, allowing you to use kettles electric comfortably and safely.
Brand Raroauf
Model Number 13
Colour White
Package Dimensions 15.8 x 13.4 x 11.6 cm; 591 Grams
Item Weight 591 g
",metal,white,591g,0.6L
"Gone Travelling Travel Kettle with Mugs - 500ml Dual Voltage Small Travel Kettle with Cups - 0.5l Mains Electric Portable Water Kettle - 550 to 650W
Brand Gone Travelling
Colour Multi-coloured
Material Plastic
Item Dimensions  L x W x H 26 x 23 x 11 centimetres
WATER LEVEL INDICATOR - There is a clear water level window on the front of the kettle so you can easily check the capacity of the kettle.WATER LEVEL INDICATOR - There is a clear water level window on the front of the kettle so you can easily check the capacity of the kettle.
COMPACT - 2 cups are included with the travel kettle, and the power cord conveniently wraps around the base of the kettle for a space saving compact design.
DUAL VOLTAGE - The travel kettle features a dual voltage system for extra travel convenience. Switch between 100-120V and 220-240V depending on your destination - ideal for continental European holidays and elsewhere.
SAFETY FIRST: The travel kettle features a locking lid, boil-dry protection and overheat protection for added safety. Please wait until the kettle has cooled down before packing it in your luggage or bag.
TRAVEL - The Gone Travelling travel kettle is perfect for any journey by car, coach, train, plane, bus and boat. Can even be used in the workplace and in your own home.
Color Multi-coloured
Size M
Style Mains Travel Kettle
Material type Plastic
Seasons All Weather
Sport Outdoors
Included components Travel Kettle with 2 Mugs
Batteries Included? No
Brand Gone Travelling
Department Unisex
Manufacturer Gone Travelling
Item model number RY723
Product Dimensions 26.01 x 23.01 x 11 cm; 480.81 Grams
ASIN B00JJI9AL4
",plastic,other,480g,0.5L
"Sage the Compact Glass Kettle [BKE395UK] , 1L, Silver
Brand Sage
Colour Silver
Capacity 1 litres
Material Stainless Steel^Glass
Voltage 240 Volts
Premium quality thermal shock resistant Schott glass
Soft opening lid slowly releases steam and prevents splashing
Multi directional base
Cord storage
Concealed element
Construction Stainless Steel and German Schott Glass
Brand Sage
Model Number BKE395UK
Colour Silver
Product Dimensions 14 x 19 x 14 cm; 1.64 Kilograms
Capacity 1 litres
Volume Capacity 1 litres
Power / Wattage 2400 watts
Voltage 240 Volts
Material Stainless Steel^Glass
Auto Shutoff Yes
Special Features Boil Dry Protection^Concealed Heating^Cordless
Item Weight 1.64 kg
",metal,silver,1.64kg,1L
"FINE ELEMENTS SDA1567 White Plastic Kettle 1.7Litre Capacity with Stainless Steel Heating Element, Clean Modern Design, External Water Gauge and Manual Opening Lid (UK Type G Plug)
Brand Fine Elements
Colour White
Material Plastic
ACCESSIBLE DESIGN - Easy manual opening lid makes re-filling the kettle effortless. *Kettle base found INSIDE* (220-240v 50hz UK Type G Plug)
LARGE CAPACITY - This Fine Elements plastic kettle has a 1. 7 litre capacity which makes approximately 7 cups of tea.
EASY TO CLEAN - Includes a removable, washable lime scale filter which is dishwasher safe and ensures no bad smell or after taste after repeated use.
SAFETY AND QUALITY ASSURED- This kettle has an automatic cut-off function which ensures safety and protects you from dry boiling.
INDICATION LIGHT AND WATER GAUGE - Includes a red light that informs you when the kettle is powered on and an external water gauge which shows how much water is in the kettle without having to open it.
Brand Fine Elements
Model Number SDA1567
Colour White
Package Dimensions 23.3 x 18.3 x 18.1 cm; 820 Grams
Volume Capacity 1.7 litres
Material Plastic
Special Features Water_Filter
Item Weight 820 g
",plastic,white,820g,1.7L
"Callisto Glass 1.7L Capacity Kettle, 360° Rotational Base and Automatic Lid Opening, Removable Filter and LED Light Indicator, Illuminating Glass While Boiling, Auto/Manual Switch Off- Ombre Effect
360° ROTATIONAL BASE- This Daewoo Callito kettle is fully rotational with an illuminated LED base - it's 360 degree rotation is perfect for easy and convenient usage
REMOVABLE & WASHABLE LIMESCALE FILTER - Make cleaning your kettle easy and mess-free - This kettle features an easy-clean removable & washable limescale filter
AUTO & MANUAL SWITCH OFF - Save energy and stay safe with our automatic switch off feature - This kettle shows when in use with an LED indicator
STYLISH DESIGN - This kettle was designed with style in mind - The black paint gradiant glass body illuminates while the kettle is boiling.
EXTERNAL WATER GAUGE - Use the water gauge to see how much water you are putting in the kettle - Make up to 7 cups of tea or coffee when full
Brand Daewoo
Model Number SDA1992
Colour Black Ombre
Package Dimensions 26.2 x 23.2 x 18.8 cm; 1.34 Kilograms
Volume Capacity 1.7 litres
Item Weight 1.34 kg
",glass,black,1.34kg,1.7L
"Salter® EK3491BLACK Riga Kettle, 1.7 Litre, 3 kW, Sleek Black | Auto-Shut Off, Indicator Lights, Boil-Dry Sensor
This Salter Riga kettle offers a generous 1. 7 L capacity with 3 kW rapid boil, making it a perfect addition to a busy, family kitchen.
A removable, easy clean limescale filter helps to improve drink quality and boil-dry protection will ensure long-lasting performance.
The 360° swivel base, water level window and sleek metallic Black design with stainless steel accents makes this device ideal for all.
Features include a boil dry sensor with auto shut-off and the indicator light ensures peace of mind when using the kettle.
Part of the modern Salter Riga Collection, this cleverly designed kettle with built in cord storage sits nicely on any kitchen counter.
Brand Salter
Model Number EK3491BLACK
Colour Black
Package Dimensions 22.5 x 20.6 x 16.9 cm; 1.17 Kilograms
Volume Capacity 1.7 litres
Special Features Boil_Dry_Protection
Item Weight 1.17 kg
",metal,black,1.17kg,1.7L
"Judge JEA85 Electrical 1.2l Kettle, Steel
Brand Judge
Colour Steel
Item Dimensions  L x W x H 17.5 x 19.5 x 20 centimetres
Easy to fill - push button lid
Energy efficient thanks to smaller capacity (1. 2L)
Easy to clean, with the removable scale filter
Fully cordless - kettle rotates 360° on base
Safe to use - Automatic shut off, boil dry protection
Brand Judge
Model Number JEA85
Colour Steel
Product Dimensions 17.5 x 19.5 x 20 cm; 500 Grams
Volume Capacity 1.2 litres
Special Features Boil_Dry_Protection, Cordless
Item Weight 500 g
",metal,other,500g,1.2L
"Wilfa CWK-2000S Kettle, Silver
Brand Wilfa
Colour Silver
Capacity 1 litres
Power / Wattage 2000 watts
Item Dimensions  L x W x H 24.8 x 22.5 x 16.7 centimetres
2000 watts
1 litre
Automatic switch-off function
360 degree rotating base
Operating indicator light
Brand Wilfa
Model Number CWK-2000S
Colour Silver
Product Dimensions 24.8 x 22.5 x 16.7 cm; 1.33 Kilograms
Capacity 1 litres
Volume Capacity 1 litres
Power / Wattage 2000 watts
Item Weight 1.33 kg
",other,silver,1.33kg,1L
"Kettle Decen 1.7L Glass Kettle with LED Indicator Lights, Fast Boil Tea Electric Kettle with Auto Shut-Off & Boil-Dry Protection, BPA Free
❤Fast & Quiet Water Boiling❤Real fast water heating. Utilizing the newest water circling heating technology, Decen electric kettle can heat water faster and quieter than the most kettles on the market. Only takes 3-7 minutes to boil 1.7L water. No more long time waiting. Enjoy the fresh tea or coffee with your family right now.
❤Illuminated LED Light❤Featuring on illuminated display, the glass kettle can give you visual enjoyment while working, perfect for your kitchen or pantry.
❤Superior Safety Protection ❤ The glass kettle will automatically shut off when the water reaches the set temperature. When the water is nearly dry-out, the kettle will protect against overheating and switch off automatically. An optional ready tone will let you know when the water is ready.
❤Wide Mouth & Easy to Clean ❤ The wide opening and removable kettle lid allows easy water refill and simple cleaning.
❤2 Years Quality Support❤Using advanced technology, UL, ETL certification. There will be no worries for your purchase, 2 Years quality supports and lifelong tech support are included in your order.
Brand Decen
Package Dimensions 39.9 x 27.4 x 24 cm; 1.48 Kilograms
Volume Capacity 1.7 litres
Item Weight 1.48 kg
",glass,other,1.48kg,1.7L
"Breville Lustra Electric Kettle, 1.7 Litre, 3 KW Fast Boil, Shimmer Cream [VKT063]
Brand Breville
Colour Shimmer Cream
Capacity 1.7 litres
Material Stainless Steel
Item Dimensions  L x W x H 16 x 16 x 27 centimetres
Elegant design in a luxurious pearlescent colour finish with mirror chrome accents
3 KW concealed element for rapid boiling; 1.7 Litre capacity makes 6 to 8 cups
Rear water window makes accurate filling easy and illuminates white on boil
Removable, cleanable limescale filter; concealed element for easy cleaning
360 Degree rotational base, lift off lid, non-slip feet and cord storage
Brand Breville
Model Number VKT063
Colour Shimmer Cream
Product Dimensions 16 x 16 x 27 cm; 1.11 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Material Stainless Steel
Auto Shutoff No
Special Features Concealed_Heating
Item Weight 1.11 kg
",metal,cream,1.1kg,1.7L
"Electric Glass Kettle, Bonsenkitchen 1.7L Temperature Control (40 ℃ - 100℃) Tea Filter Kettle with Keep Warm Function, 2200W Fast Heating,Auto Shut-Off & Boil-Dry Protection
Brand Bonsenkitchen
Colour Transparent
Item Dimensions  L x W x H 17 x 21 x 37 centimetres
☕ 【Temperature Control & Keep Warm Function 】Different Temperatures for Optimal Brewing, you can set various temperature from 40 ℃ - 100℃ depending on the type of beverage to prepare; The glass kettle also can keep warm function setting from 40℃ to 95℃ that stays on for up to 2 hours. Always ready for brewing the next cup of tea or coffee and without waiting to heat water again.(One touch ""+""""-"" will adjust 10℃ )
☕ 【Fast Boiling & Large Capacity 】 The fast boiling kettle boiling at 2200W high power, only takes about 5 minutes to boil 1.7 liters of water; 0.5L for just 2mins. Can let you wait less for per boil, Effectively saves more energy. 1.7L Large capacity makes enough water for 6-7 people, perfect match for Coffee, tea, pasta, oatmeal etc.
☕ 【Tea Filter & LED Indicator 】Borosilicate glass kettle utilizes a customize blue indicator technology to bring you a visible boiling process. This charming addition will brighten your kitchen. This tea kettle has a adjustable height of tea infuser, not only boil water, but also brew your favorite green tea, black tea ; built in filter makes sure you get the best taste possible.
☕ 【Extraordinary Safety】Built with the professional temperature controller, advanced auto shut-off and boil-dry protection function ensure 100%. The stay-cool handle will ensure that handling of the tea kettle is easy and safe, helps to prevent burns. Protect you and your family on all sides
☕ 【12 Months Warranty】The electric water boiler comes with 12 months warranty. If you have any questions, please do not hesitate to contact us，and we will reply you within 24 hours to solve all of your concerns.
Brand Bonsenkitchen
Colour Transparent
Product Dimensions 17 x 21 x 37 cm; 1.71 Kilograms
Volume Capacity 1.7 litres
Special Features Boil Dry Protection
Item Weight 1.71 kg
",glass,other,1.71kg,1.7L
"Daewoo SDA1736 Stockholm 1.7L Wood Effect Handle | On/Off Switch with Light Indicator | Matte Finish Plastic Body with Chrome Detail | Otter Control | Cordless Design | 1850-2200W Power, Grey Kettle
Brand Daewoo
Colour Grey Kettle
Capacity 1.7 litres
Material Plastic
Stylish matte finish - The Stockholm kettle is stylishly designed with a smooth matte finish Plastic body and accented with a wood effect handle and chrome detailing, add a touch of class to your kitchen.
Light indicator on/off switch- the Stockholm kettle has an indicator light that lets you know when it is on or off, the kettle switches off automatically once the water has reached boiling point.
Otter safety control - Fitted with an Otter control safety system you can be assured that your kettle safety components have been tested to rigorous standards.
Cordless design - - with no cords to get in the way This kettle is easy to handle and use when making your favourite beverage.
Large 1. 7 Capacity jug- with a large 1. 7L capacity you will have plenty of water for tea, coffee or other hot drinks, perfect for when you are hosting your weekly coffee morning.
Brand Daewoo
Model Number SDA1736
Colour Grey Kettle
Package Dimensions 23.4 x 22.2 x 17.2 cm; 1.16 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Material Plastic
Special Features Cordless
Item Weight 1.16 kg
",plastic,grey,1.16kg,1.7L
"TOPINCN 1000ml In-car Truck Kettle Portable 12V Travel Electric Water Heater Bottle for Hot Water Tea Coffee Making Large Capacity
Brand TOPINCN
Colour White
Capacity 1 litres
Material Stainless Steel, Plastic
Wattage 250 watts
♥【Never worrying no hot water while driving】What if my 1-year-old baby want to drink hot milk while driving?? Car kettle lets you no longer worry about not having hot water while you family is in the car, without needing to bring a camp stove.
♥【Long drive, we care long road truck drivers really】A cup of boiling water will be a great help to you when you drive long distances. Health is not a joke for you, as you are the most important for your family.
♥【1000ML Big capacity, no need second try】Differ from other small hot water bottle offerings in the market, this 1000ml electronic kettle is available for different demands. Makes a long road trip much nicer.
♥【Available for car/vechile/truck】12V are supported. It doesn't matter when you drive car or big size truck. Please note that the kettle is intended to keep your milk/coffee/tea/oatmeal warm at your desired temperature and to heat up lukewarm drinks but not to boil cold drinks.
♥【Auto self-safety protection】The steam switch will be power off automatically if the heating water is boiling. The safety protection circuit will be power off if the heating temperature is higher than 248.0℉. People want to boil water faster but it'd also blow your fuses or melt every wire in the dash board with the 12 volt cigarette lighter. This car travel kettle helps you just focus on your trip.
Product Dimensions 1 x 1 x 1 cm; 640 Grams
Part number TOPINCNwx9nd8fpiu
Material type Stainless Steel, Plastic
Capacity 1 litres
Manufacturer TOPINCN
Manufacturer reference TOPINCNwx9nd8fpiu
ASIN B07L4LBKWL
",metal,white,640g,1L
"Russell Hobbs 21888 Legacy Quiet Boil Electric Kettle, 3000 W, 1.7 Litre, Cream
Brand Russell Hobbs
Colour Cream
Capacity 1.7 litres
Material Plastic
Power / Wattage 3000 watts
Features Quiet boil technology, ideal for those who value peace with their brew, reducing the boiling noise by up to 70 percent when tested against other Russell Hobbs kettles without Quiet boil technology
Rapid boil zones for easy measurability with one cup taking only 45 seconds to boil and one cup is equal to 235 ml of water
Removable, washable filter to remove impurities for a cleaner brew
360 Degree base with cord storage for easy accessibility that fits around your kitchen
Brand Russell Hobbs
Model Number 21888
Colour Cream
Product Dimensions 27 x 10.2 x 29.8 cm; 1.76 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Item Weight 1.76 kg
",plastic,cream,1.76kg,1.7L
"Salter EK3931GRY Opulence Kettle | 1.7 Litre Capacity | 3000 W | Rapid Boil-Dry Protection | Auto Shut-Off | Soft-Touch Finish | Grey, Black
Brand Salter
Colour Black
Capacity 1.7 litres
Power / Wattage 3000 watts
Whether it is a quick morning coffee or afternoon tea with friends, boil your water in style using this Salter Opulence Kettle.
Measuring 22 l x 17 w x 24.5 h cm, this kettle features a rapid boil and has a 1.7 litre capacity, enough for up to 8 standard cups.
Smart and attractive in the kitchen, the kettle has a limescale filter to maintain the kettle and ensure clean water on every use.
Includes a 360° swivel base for left and right handed users, plus integrated strix control and auto-shut off for total peace of mind.
Fitted with a water window, this kettle is has a sleek grey soft-touch finish which is sure to compliment most colour schemes.
Brand Salter
Model Number EK3931GRY
Colour Black
Package Dimensions 23.9 x 20.5 x 18.6 cm; 1.26 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Item Weight 1.26 kg
",other,black,1.26kg,1.7L
"Tower T10051BLU Electric Kettle, Ice Diamond Collection, 1.7 Litre Capacity with 360 Degree Swivel Base, 3KW, Blue
Brand Tower
Colour Blue
Power / Wattage 3000 watts
Item Dimensions  L x W x H 15.1 x 22 x 23.4 centimetres
3kW heating element provides a rapid boiling time for your hot drinks
1.7 litre capacity makes up to 7 drinks with every fill
Ice diamond effect detailing in a blue colour coating creates a staple feature in the kitchen
Detachable filter for easy maintenance between uses
Simple pull up lid design for ease of refilling
Brand Tower
Model Number T10051BLU
Colour Blue
Product Dimensions 15.1 x 22 x 23.4 cm; 1.28 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Special Features LED Indicator Light, Boil Dry Protection, 3000 Watts, 360 Degree Swivel Base, 1.7 Litre Capacity
Item Weight 1.28 kg
",other,blue,1.28kg,1.7L
"Salter EK2898WHT Deco Collection Kitchen 1.7 L Kettle, 3000 W, White/Stainless Steel
Brand Salter
Colour White
Item Dimensions  L x W x H 22 x 12 x 24 centimetres
Matching the Salter Deco Collection, this kettle will make a smart and sophisticated addition to any modern kitchen.
Powered by 3000 W, this sleek kettle has a 1. 7 litre capacity and can hold up to 8 standard cups of water for each boiling cycle.
Includes a 360° swivel base for left and right handed users, plus integrated STRIX control and auto-shut off for total peace of mind.
This kettle also has a translucent water level viewing window so it is easy to monitor exactly how full the kettle is at any one time.
Modern and stylish, this kettle is made from durable materials and finished in glossy white with smart stainless steel accents.
Brand Salter
Model Number EK2898WHT
Colour White
Product Dimensions 22 x 12 x 24 cm; 1.16 Kilograms
Volume Capacity 1.7 litres
Item Weight 1.16 kg
",metal,white,1.16kg,1.7L
"Cuisinart Style Collection 1.7L Traditional Kettle | Frosted Pearl | CTK17SU
Brand Cuisinart
Colour Frosted Pearl Silver
Capacity 1.7 litres
Material Stainless Steel
Power / Wattage 3000 watts
Stunning traditional shape in frosted pearl finish with polished chrome details.
Full stainless steel body in a beautiful painted finish - easy to wipe clean.
3kW for rapid boiling.
Concealed element and removable lime scale filter for easy descaling.
1.7L capacity.
3 year guarantee
Brand Cuisinart
Model Number CTK17SU
Colour Frosted Pearl Silver
Product Dimensions 19.5 x 19.5 x 26 cm; 2.02 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Concealed_Heating
Item Weight 2.02 kg
",metal,silver,2.02kg,1.7L
"YesUK 1.7L ELECTRIC KETTLE BLACK & BLUE 360° CORDLESS PORTABLE 2200W RAPID BOIL JUG
Brand YesUK
Colour Black/Silver
Capacity 1.7 litres
Voltage 240 Volts
Power / Wattage 2000 watts
Black electric kettle - 1.7 Litre capacity - Water level indicator - Auto shut off bimetallic switch
0-5 switch various temperature option - 2200w rapid boil concealed element
Boil dry & overheat protection - Concealed heating element - One-Touch-Open security lid
Detachable filter - Easy grip Ergonomic handle - Base station with cord storage
360° rotation base - More details in the description below .....
Brand YesUK
Model Number HTR-62
Colour Black/Silver
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2000 watts
Voltage 240 Volts
Special Features Cordless
",other,black,1.7kg,1.7L
"De'Longhi Avvolta Kettle, anti-scale filter, 1.7 Liters, 360° swivel base, KBA3001.BK, Black
Brand De'Longhi
Colour Black
Capacity 1.7 litres
Material Plastic
Voltage 220
Black plastic body with transparent wrapping
360 Degree swivel base: Detachable base for cord-free convenience
Water level indicator
3-level safety protection: Auto shut-off when water begins to boil -thermal cut-off -auto shut-off when body is lifted from base
Cord storage
Brand De'Longhi
Model Number KBAC3001BK
Colour Black
Product Dimensions 26 x 20.4 x 26.5 cm; 1.4 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Voltage 220
Material Plastic
Auto Shutoff No
Energy Efficiency Class A to G
Item Weight 1.4 kg
",plastic,black,1.4kg,1.7L
"De'Longhi Vintage Icona Kettle, anti-scale filter, 1.7 Liters, 360° swivel base,KBOV3001BG - Cream
Brand De'Longhi
Colour Creme
Capacity 1.7 litres
Material Stainless Steel, Plastic
Voltage 240 Volts
Pastel cream and mahogany finish kettle with chrome detail
Three level safety protection
360 degrees swivel base and stainless steel concealed element
Removable, washable scale filter and non-slip feet
1 year warranty
Item weight : 1 kg
Brand De'Longhi
Model Number KBOV 3001.BG
Colour Creme
Product Dimensions 23 x 23 x 26.5 cm; 1 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Voltage 240 Volts
Material Stainless Steel, Plastic
Auto Shutoff Yes
Special Features Cordless, Concealed Heating
Item Weight 1 kg
",metal,cream,1kg,1.7L
